Mesto,Priimek,Ime,Drzava,Skok_1,Skok_2
1,KRAFT, Stefan,AUT,250.0,244.3
2,WELLINGER, Andreas,GER,238.5,236.2
3,KASAI, Noriaki,JPN,239.0,223.9
4,EISENBICHLER, Markus,GER,243.0,223.2
5,STOCH, Kamil,POL,222.5,216.8
6,PREVC, Peter,SLO,229.0,211.9
7,JOHANSSON, Robert,NOR,232.0,211.8
8,TEPEŠ, Jurij,SLO,231.5,209.9
9,FORFANG, Johann Andre,NOR,225.0,209.6
10,FANNEMEL, Anders,NOR,224.0,207.9
11,ZYLA, Piotr,POL,228.5,206.7
12,HAYBOECK, Michael,AUT,225.5,204.0
13,STJERNEN ,Andreas,NOR,224.0,203.9
14,KOT ,Maciej,POL,220.5,200.9
15,KUBACKI, Dawid,POL,223.0,197.6
16,FREITAG, Richard,GER,217.5,194.9
17,PREVC ,Domen,SLO,226.5,193.8
18,FETTNER, Manuel,AUT,218.5,191.9
19,KLIMOV, Evgeniy,RUS,218.0,191.6
20,KOUDELKA, Roman,CZE,216.5,191.3
21,AMMANN, Simon,SUI,220.0,190.3
22,ITO, Daiki,JPN,213.0,190.1
23,GEIGER, Karl,GER,213.0,190.0
24,DAMJAN, Jernej,SLO,212.0,189.5
25,LANIŠEK, Anže,SLO,212.5,185.0
26,DESCOMBES SEVOIE, Vincent,FRA,213.5,183.8
27,TAKEUCHI, Taku,JPN,210.0,183.6
28,ZIOBRO, Jan,POL,210.5,179.3
29,LEYHE, Stephan,GER,193.0,165.6
