Mesto,Priimek,Ime,Drzava,Skok_1,Skok_2
1,TEPEŠ, Jurij,SLO,230.5,244.0
2,PREVC, Peter,SLO,236.5,233.5
3,VELTA, Rune,NOR,230.5,226.5
4,KRAFT, Stefan,AUT,229.5,229.5
5,STOCH, Kamil,POL,235.0,222.5
6,HAYBOECK, Michael,AUT,225.0,232.0
7,FREUND, Severin,GER,222.5,226.0
8,KASAI, Noriaki,JPN,223.5,229.0
9,SCHLIERENZAUER, Gregor,AUT,228.5,218.0
10,ZYLA, Piotr,POL,222.5,220.5
11,FANNEMEL, Anders,NOR,226.0,214.0
12,ITO, Daiki,JPN,207.5,217.5
13,KRANJEC, Robert,SLO,214.5,214.5
14,MAEAETTAE, Jarkko,FIN,209.0,213.0
15,FORFANG, Johann Andre,NOR,210.0,209.0
16,FETTNER, Manuel,AUT,218.0,206.0
17,STJERNEN, Andreas,NOR,211.5,203.5
18,DAMJAN, Jernej,SLO,207.5,201.5
19,NEUMAYER, Michael,GER,206.5,210.5
20,DESCOMBES SEVOIE, Vincent,FRA,206.0,202.5
21,JACOBSEN, Anders,NOR,204.5,206.0
22,EISENBICHLER, Markus,GER,196.0,206.5
23,FREITAG, Richard,GER,198.5,205.0
24,KOUDELKA, Roman,CZE,205.5,197.0
25,DEŽMAN, Nejc,SLO,190.5,202.0
26,POPPINGER, Manuel,AUT,192.5,197.0
27,DESCHWANDEN, Gregor,SUI,197.0,198.0
28,TAKEUCHI, Taku,JPN,194.5,192.5
29,ASIKAINEN, Lauri,FIN,193.5,196.0
30,PUNGERTAR, Matjaž, SLO,286.5,192.5
