Mesto,Priimek,Ime,Drzava,Skok_1,Skok_2
1,KOBAYASHI, Ryoyu,JPN,252.0,230.5
2,PREVC, Domen,SLO,239.5,222.5
3,EISENBICHLER, Markus,GER,235.0,227.0
4,ZYLA, Piotr,POL,248.0,222.0
5,ZAJC, Timi,SLO,241.0,224.0
6,KUBACKI, Dawid,POL,234.0,229.5
7,GEIGER, Karl,GER,238.5,228.0
8,FORFANG, Johann Andre,NOR,225.0,223.5
9,SEMENIČ, Anže,SLO,241.0,224.0
10,KLIMOV, Evgeniy,RUS,233.0,221.5
11,STOCH, Kamil,POL,222.0,220.0
12,WOLNY, Jakub,POL,223.0,219.0
13,AMMANN, Simon,SUI,234.0,221.0
14,SATO, Yukiya,JPN,230.5,216.5
15,KOBAYASHI, Junshiro,JPN,228.5,211.5
16,JOHANSSON, Robert,NOR,226.5,211.5
17,KRAFT, Stefan,AUT,224.0,212.5
18,HAYBOECK, Michael,AUT,222.5,216.0
19,PREVC, Peter,SLO,221.5,204.5
20,WELLINGER, Andreas,GER,220.0,203.0
21,HUBER, Daniel,AUT,219.0,207.0
22,ITO, Daiki,JPN,213.0,212.0
23,ASCHENWALD, Philipp,AUT,221.5,208.0
24,FREITAG, Richard,GER,211.0,212.0
25,AALTO, Antti,FIN,206.0,210.5
26,PEIER, Killian,SUI,207.0,200.0
27,ZOGRAFSKI, Vladimir,BUL,194.5,214.0
28,GRANERUD, Halvor Egner,NOR,194.5,216.0
29,LANIŠEK, Anže,SLO,195.5,201.0
30,FETTNER, Manuel,AUT,186.0,209.0
