Mesto,Priimek,Ime,Drzava,Skok_1,Skok_2
1,LINDVIK ,Marius,NOR,241.5,245.5
2,SATO, Yukiya,JPN,236.5,242.5
3,PREVC, Peter,SLO,235.5,240.0
4,ZAJC, Timi,SLO,233.0,240.0
5,LANIŠEK, Anže,SLO,231.0,244.5
6,JELAR, Žiga,SLO,239.0,232.0
7,PREVC, Cene,SLO,241.0,246.0
8,KOBAYASHI, Ryoyu,JPN,235.5,230.5
9,KUBACKI, Dawid,POL,231.0,235.0
10,HAYBOECK, Michael,AUT,226.0,244.5
11,KRAFT, Stefan,AUT,232.0,228.0
12,ZYLA, Piotr,POL,237.5,221.5
13,GRANERUD, Halvor Egner,NOR,218.0,243.5
14,STOCH ,Kamil,POL,225.0,231.5
15,FORFANG, Johann Andre,NOR,220.5,237.0
16,GEIGER, Karl,GER,225.0,242.0
17,FETTNER, Manuel,AUT,223.5,231.5
18,WELLINGER, Andreas,GER,223.0,230.0
19,HUBER ,Daniel,AUT,218.5,225.0
20,KOS ,Lovro,SLO,219.5,227.0
21,HOERL, Jan,AUT,214.0,230.5
22,TSCHOFENIG, Daniel,AUT,208.5,221.5
23,SCHMID ,Constantin,GER,210.0,223.0
24,EISENBICHLER, Markus,GER,209.5,220.0
25,DESCHWANDEN, Gregor,SUI,208.0,217.0
26,NAKAMURA, Naoki,JPN,211.5,203.0
27,LEYHE, Stephan,GER,204.5,208.0
28,FREUND, Severin,GER,190.5,215.0
29,KOBAYASHI, Junshiro,JPN,188.0,196.5
30,PEIER ,Killian,SUI,175.0,188.0
