Mesto,Priimek,Ime,Drzava,Skok_1,Skok_2
1,GEIGER, Karl,GER,231.0,232.5
2,KOBAYASHI, Ryoyu,JPN,242.0,217.0
3,EISENBICHLER, Markus,GER,221.0,230.0
4,PREVC, Domen,SLO,233.0,233.0
5,HUBER, Daniel,AUT,237.0,226.0
6,SATO ,Yukiya,JPN,233.0,229.0
7,PAVLOVČIČ, Bor,SLO,249.5,218.0
8,FORFANG ,Johann Andre,NOR,231.0,234.5
9,JOHANSSON, Robert,NOR,232.5,222.0
10,HAYBOECK, Michael,AUT,245.0,224.0
11,PASCHKE, Pius,GER,230.0,225.5
12,JELAR, Žiga,SLO,234.5,220.0
13,ZYLA, Piotr,POL,226.5,230.5
14,LANIŠEK ,Anže,SLO,224.0,223.5
15,STEKALA,Andrzej,POL,219.0,222.0
16,GRANERUD, Halvor Egner,NOR,239.0,204.0
17,KRAFT, Stefan,AUT,220.5,217.0
18,KUBACKI, Dawid,POL,219.0,216.0
19,NAZAROV, Mikhail,RUS,218.0,220.5
20,STOCH, Kamil,POL,216.5,206.5
21,ASCHENWALD, Philipp,AUT,221.0,208.5
22,SATO, Keiichi,JPN,210.0,219.0
23,PREVC, Peter,SLO,231.5,196.5
24,DESCHWANDEN, Gregor,SUI,220.0,205.5
25,FREUND, Severin,GER,213.0,213.0
26,WOLNY, Jakub,POL,212.0,216.5
27,SCHMID, Constantin,GER,210.5,209.0
28,HAMANN, Martin,GER,216.5,NULL
29,MURANKA, Klemens,POL,200.5,189.0
