Mesto,Priimek,Ime,Drzava,Skok_1,Skok_2
1,LANIŠEK, Anže,SLO,247.5,241.5
2,PREVC, Domen,SLO,245.0,254.5
3,WELLINGER, Andreas,GER,236.5,236.5
4,TSCHOFENIG, Daniel,AUT,231.0,237.5
5,KOBAYASHI, Ryoyu,JPN,236.0,231.0
6,PASCHKE, Pius,GER,231.5,237.0
7,ZNISZCZOL ,Aleksander,POL,234.5,238.0
8,DESCHWANDEN, Gregor,SUI,230.0,229.5
9,HOERL, Jan,AUT,228.0,242.5
10,GEIGER, Karl,GER,227.5,233.5
11,ZAJC, Timi,SLO,228.5,228.0
12,KRAFT, Stefan,AUT,216.5,234.0
13,WASEK, Pawel,POL,224.5,230.5
14,MUELLER ,Markus,AUT,219.5,232.5
15,STOCH, Kamil,POL,215.0,230.0
16,AALTO ,Antti,FIN,215.5,230.5
17,NIKAIDO, Ren,JPN,220.5,228.5
18,KOS, Lovro,SLO,218.0,226.5
19,AIGRO, Atti,EST,223.5,221.0
20,FETTNER, Manuel,AUT,217.5,224.0
21,FRANTZ ,Tate,USA,213.5,221.5
22,ORTNER, Maximilian,AUT,212.5,214.5
23,ZOGRAFSKI, Vladimir,BUL,214.5,214.5
24,VILLUMSTAD ,Fredrik,NOR,208.5,214.5
25,NAKAMURA, Naoki,JPN,212.0,210.0
26,WOLNY, Jakub,POL,205.5,205.5
27,FOUBERT, Valentin,FRA,200.5,206.5
28,KUBACKI, Dawid,POL,201.0,203.0
29,PEIER, Killian,SUI,186.5,192.5
30,BICKNER ,Kevin,USA,181.0,196.5
