Mesto,Priimek,Ime,Drzava,Skok_1,Skok_2
1,HUBER, Daniel,AUT,247.0,242.5
2,PREVC, Domen,SLO,233.0,238.0
3,ZNISZCZOL ,Aleksander,POL,237.0,237.5
4,KRAFT, Stefan,AUT,230.5,239.5
5,ZYLA, Piotr,POL,230.0,240.0
6,PREVC, Peter,SLO,233.5,226.5
7,JOHANSSON, Robert,NOR,239.0,240.0
8,FORFANG, Johann Andre,NOR,224.0,227.0
9,LINDVIK, Marius,NOR,229.0,221.0
10,KOS ,Lovro,SLO,231.5,215.0
11,TSCHOFENIG, Daniel,AUT,221.0,223.5
12,FETTNER, Manuel,AUT,226.5,217.0
13,PASCHKE, Pius,GER,218.0,231.0
14,WELLINGER, Andreas,GER,219.5,231.0
15,HAYBOECK, Michael,AUT,221.5,227.0
16,STOCH, Kamil,POL,227.5,223.0
17,BELSHAW, Erik,USA,219.5,223.0
18,INSAM ,Alex,ITA,226.5,223.0
19,NIKAIDO ,Ren,JPN,224.5,225.0
20,KOBAYASHI, Ryoyu,JPN,205.5,232.0
21,DESCHWANDEN ,Gregor,SUI,212.0,229.0
22,GEIGER, Karl,GER,210.0,232.0
23,KOBAYASHI, Junshiro,JPN,221.0,218.5
24,OESTVOLD ,Benjamin,NOR,212.5,217.5
25,LANIŠEK, Anže,SLO,199.5,208.0
26,KYTOSAHO, Niko,FIN,213.0,199.5
27,LEYHE, Stephan,GER,199.0,200.5
28,AALTO ,Antti,FIN,193.0,186.5
29,KUBACKI, Dawid,POL,194.0,187.5
