Mesto,Priimek,Ime,Drzava,Skok_1,Skok_2
1,STOCH, Kamil,POL,245.0,234.5
2,KRAFT, Stefan,AUT,243.0,236.0
3,TANDE, Daniel Andre,NOR,243.5,234.5
4,JOHANSSON, Robert,NOR,237.0,228.0
5,STJERNEN, Andreas,NOR,233.0,236.0
6,FREITAG, Richard,GER,232.5,237.5
7,GEIGER, Karl,GER,232.0,234.5
8,FORFANG, Johann Andre,NOR,240.5,226.0
9,PREVC, Peter,SLO,235.0,232.0
10,KOBAYASHI, Junshiro,JPN,236.5,223.5
11,FANNEMEL, Anders,NOR,232.5,232.5
12,EISENBICHLER, Markus,GER,232.5,224.0
13,HULA, Stefan,POL,228.5,223.5
14,AMMANN, Simon,SUI,234.0,222.0
15,KOBAYASHI, Ryoyu,JPN,220.0,233.0
16,WELLINGER, Andreas,GER,222.5,224.5
17,SEMENIČ ,Anže,SLO,220.0,219.5
18,BARTOL, Tilen,SLO,222.0,214.5
19,KOT ,Maciej,POL,218.0,209.0
20,GRANERUD, Halvor Egner,NOR,213.5,216.5
21,KUBACKI, Dawid,POL,217.0,211.5
22,KASAI, Noriaki,JPN,216.5,213.0
23,DAMJAN, Jernej,SLO,214.0,214.0
24,HAYBOECK, Michael,AUT,214.5,208.5
25,HUBER, Daniel,AUT,202.5,212.0
26,AIGNER, Clemens,AUT,197.0,212.0
27,ZYLA, Piotr,POL,197.0,208.5
28,PASCHKE ,Pius,GER,202.5,201.5
29,TAKEUCHI, Taku,JPN,196.0,201.5
30,LEYHE, Stephan,GER,203.0,192.5
