Mesto,Priimek,Ime,Drzava,Skok_1,Skok_2
1,ZAJC, Timi,SLO,232.5,234.0
2,LANIŠEK, Anže,SLO,239.5,242.0
3,KRAFT, Stefan,AUT,238.5,235.0
4,PREVC, Domen,SLO,237.5,232.0
5,HOERL, Jan,AUT,236.5,240.0
6,JELAR, Žiga,SLO,228.5,236.5
7,NAKAMURA, Naoki,JPN,237.0,222.5
8,KOBAYASHI, Ryoyu,JPN,229.5,239.0
9,WELLINGER, Andreas,GER,228.5,240.5
10,FORFANG, Johann Andre,NOR,228.5,228.5
11,EISENBICHLER, Markus,GER,225.0,240.5
12,TSCHOFENIG, Daniel,AUT,227.5,236.5
13,GRANERUD, Halvor Egner,NOR,215.5,237.0
14,ZYLA, Piotr,POL,221.5,241.5
15,STOCH, Kamil,POL,216.0,236.5
16,JOHANSSON, Robert,NOR,217.0,234.0
17,ZNISZCZOL, Aleksander,POL,226.0,235.5
18,HAYBOECK ,Michael,AUT,230.5,220.0
19,DESCHWANDEN ,Gregor,SUI,219.0,229.5
20,KOS, Lovro,SLO,217.0,227.0
21,FETTNER, Manuel,AUT,219.0,223.5
22,SCHMID, Constantin,GER,210.5,220.5
23,GEIGER, Karl,GER,217.5,215.5
24,BRESADOLA, Giovanni,ITA,208.5,220.0
25,HEGGLI, Bendik Jakobsen,NOR,216.5,212.0
26,SUNDAL, Kristoffer Eriksen,NOR,211.0,213.5
27,PASCHKE ,Pius,GER,220.0,208.5
28,WASEK, Pawel,POL,216.0,198.5
29,AIGNER ,Clemens,AUT,207.0,206.0
30,TANDE, Daniel Andre,NOR,192.0,202.5
